,Word,Weight
308,come,0.0
309,last,-0.0
310,many,0.0
311,ill,0.0
312,tour,0.05964144138408007
313,games,-0.032235355716921675
314,let,0.0
315,jersey,-0.0992995670004562
316,period,0.0
317,sochi,-0.0
318,cr,-0.0
319,turkey,-0.005222067695769758
320,west,0.0
321,whos,0.0
322,much,0.0
323,ireland,0.0
324,meeting,-0.030267692241604395
325,board,-0.0
326,life,0.0
327,liverpool,0.0008365115951368852
328,fire,-0.0
329,photos,-0.0
330,atlanta,-0.0
331,spain,-0.0
332,georgia,0.0
333,abandoned,0.0
334,air,-0.11653114159306517
335,near,-0.0
336,fun,-0.0738327624255315
337,taking,-0.0
338,ive,-0.0
339,mexico,0.0
340,rip,-0.03634904571357636
341,cant,-0.0
342,someone,-0.0
343,im,0.009954440460864042
344,ready,-0.0
345,seattle,-0.0
346,monroe,0.0
347,italy,-0.0
348,shirt,-0.0
349,open,-0.0
350,things,0.0
351,make,0.0
352,trip,0.0
353,shit,0.0
354,party,0.0
355,week,-0.0
356,singapore,0.0
357,pick,-0.04369355396251828
358,yesterday,-0.0
359,munich,0.0
360,indonesia,0.0
361,well,0.0
362,game,0.0
363,without,0.0
364,left,-0.0
365,mahone,0.022702447749815426
366,photo,-0.0
367,rest,-0.0
368,thanks,0.0
369,world,-0.0
370,paul,-0.0
371,cup,-0.01883579543998478
372,lake,0.0
373,day,-0.01488497788613429
374,lets,-0.0
375,perth,0.0005616870004937668
376,4,-0.0
377,sydney,0.018373605562139107
378,east,0.0
379,match,0.1299263509728581
380,real,0.03279970867393102
381,australia,0.0
382,around,-0.09434460191487512
383,read,0.0
384,big,-0.0
385,delhi,0.0
386,gonna,0.0
387,blowjob,-0.0
388,know,0.0
389,zayn,0.0
390,newcastle,-0.0
391,amp,0.0
392,lady,-0.0
393,mostlybjs,-0.0
394,d,-0.0
395,dubai,-0.0
396,like,-0.0
397,lost,0.0
398,miami,0.0
399,performing,0.0
400,james,0.0
401,tower,0.0010592386460881104
402,page,0.0
403,right,0.0
404,old,0.0
405,people,-0.0
406,fucking,0.0
407,madrid,0.0
408,twitter,-0.0071229753249980815
409,back,-0.005927524494936821
410,malaysia,0.03411269625606642
411,home,0.0
412,retro,-0.0
413,christmas,-0.0204351968530727
414,welcome,-0.0
415,pls,0.0
416,night,-0.04618262935436576
417,thailand,-0.12672427660258614
418,post,0.0
419,rt,0.0018380249184682573
420,super,-0.0
421,stage,-0.0
422,central,0.0
423,justin,0.0
424,oh,-0.0
425,island,0.008121704962305937
426,favorite,-0.0
427,melbourne,-0.0
428,niall,0.0
429,wanna,-0.0
430,earthpics,0.0
431,pussy,0.0
432,washington,-0.0
433,everyone,-0.0
434,ht…,0.041448934273838146
435,cardiff,-0.06585684916264269
436,france,-0.0
437,van,-0.005992977399596838
438,hes,0.0
439,support,0.0
440,flying,-0.0
441,hey,0.0
442,long,0.0
443,los,-0.0
444,way,0.0
445,brazilian,-0.0
446,music,0.0
447,happy,-0.027956976453105166
448,north,0.0
449,batman,0.0
450,hq,-0.0
451,boys,0.02484690093276906
452,♥,-0.0
453,true,0.0
454,made,-0.0
455,official,-0.039223498396943966
456,signed,-0.0
457,uk,0.0
458,h…,-0.003752700350351107
459,pic,0.0
460,together,0.0
461,check,0.0
462,film,-0.0
463,facebook,-0.0
464,incredible,-0.0
465,book,-0.0
466,5,-0.015067651711618668
467,u,-0.01485105649736015
468,nice,0.0
469,canada,0.0016867229906396576
470,star,0.0
471,football,-0.010973050689898409
472,stay,-0.0
473,chance,-0.0
474,backstage,0.02493900498662712
475,…,0.0
476,friends,0.02388354172804062
477,ago,0.0
478,barcelona,0.0
479,Friday1,0.8999145041516996
480,Friday2,-0.11373909736977242
481,Friday3,-0.0
482,Friday4,0.17858257558926738
483,nelson,-0.0009985970933943926
484,time,0.0
485,serious,0.0
486,buffalo,0.0
487,hello,-0.0
