Place,R^2_twitter,RMSE_Twitter,RMSE_L4F
Bologna,-0.070382005,15.47865132,14.52925047
Bordeaux,-0.912547292,24.62815861,20.99405286
Boston,-0.25832782,22.45618119,21.58089301
Bournemouth,-0.964844727,2.090977158,1.944273351
Brasilia,-3.032046865,4.929561844,2.570958877
Bratislava,-2.879043932,3.420708731,0.918125561
Brazil,0.252956245,50.02114566,44.71347544
Bremen,-0.555803582,9.610315191,9.615709802
Brest,-0.833410381,1.498768334,1.437663034
Brisbane,-0.285736086,24.06944817,24.24484364
Bristol,-0.058743375,33.44301873,36.11202307
Brno,-0.455935866,3.563482783,3.229347497
Brussels,-1.922166703,71.58419547,39.21773681
Bucharest,-0.803152866,46.85626946,42.0280027
Budapest,0.250064899,29.87450917,29.94852592
Buffalo,-0.156208802,4.185393518,4.999775563
Bulgaria,-0.616852064,43.68229232,37.91275234
Busan,0.009588004,8.368069291,8.444139643
Cagliari,-0.680874402,11.64170009,10.72351521
Cairns,-0.352892007,5.979916014,6.913493476
Cairo,0.042760143,14.79150569,16.80453047
Calgary,-0.133718737,8.766905654,9.61889269
Cali,-0.150560052,3.933590083,3.872312118
Cambodia,0.054469295,7.160828066,7.812199085
Cameroon,-0.157643221,4.794063501,4.422241693
Canada,-0.072281867,41.16355152,44.23384335
Cancun,0.084817375,31.93266303,31.72180163
Caracas,0.007836374,3.678247407,4.215474739
Cardiff,-0.539692775,8.104829205,8.155430776
Casablanca,-0.296358054,18.86534325,20.97423406
Catania,0.036935059,23.66571441,24.10936611
Cebu,-0.17369054,4.852229924,5.798305003
Charlotte,-1.775981275,6.567415682,4.164518007
Chelyabinsk,-95.24554494,28.41738635,11.17399197
Chengdu,-0.09261444,5.178025268,5.947753109
Chennai,-0.81764473,20.21372103,15.77885974
Chicago,-0.007242546,28.38035263,30.2990924
Chile,-0.530906716,19.20869134,20.70994491
China,0.228812458,52.05446964,54.08611767
Christchurch,-0.111223149,9.375820837,12.8170452
Cleveland,0.305602421,1.810608356,1.847287631
Cologne,-0.219053719,40.10860333,32.882046
Colombia,-0.088723581,21.15614242,17.91651251
Colombo,-1.239343832,29.72286834,26.76794216
Columbus,-0.115387509,3.26189626,3.424066728
Constantine,0.39986258,0.6713591,0.700060874
Copenhagen,0.131700434,57.8571285,39.8313729
Corfu,-3.504969397,37.44558351,23.28925938
Cork,-0.088345216,6.692761093,6.70332982
Crete,-2.029462869,61.67254778,46.05591833
Croatia,-2.673262148,81.70007164,49.72054861
Cuba,0.251435938,40.94001009,51.79256073
Curacao,-0.384229061,5.33207608,6.460942533
Curitiba,-0.430412361,4.056556785,4.140038016
Cyprus,0.433836513,79.23445701,110.0974234
Dakar,-1.325795867,11.54497135,11.44085085
Dallas,0.080298495,16.15871336,16.70769335
Delhi,-1.078212603,50.71258845,37.01037708
Denmark,0.280831945,54.66325957,39.95336415
Denver,-1.482355779,19.55638109,13.02625408
Derry,-2.37E+28,0.547438267,19.02777778
Detroit,-0.19843191,6.704188901,6.969619544
Dhaka,-0.696920209,9.197667209,7.378183057
Doha,0.085875413,10.59304349,11.94933552
Doncaster,-0.434695405,4.106531323,4.094376687
Donetsk,-3.168926912,7.824618451,5.647133223
Dortmund,0.013911495,6.933677909,7.868209554
Dresden,-0.320619382,5.350766372,5.972893314
Dubai,0.549113593,45.94645984,65.91411703
Dublin,-0.475040774,50.6750797,41.51142744
Dubrovnik,-2.028906056,35.41033762,17.92768935
Durban,-0.59414678,10.09896843,11.11328034
Durham,-0.321365483,5.553300057,6.800779116
Dusseldorf,0.164446748,66.95268523,62.63123268
Ecuador,0.14822052,10.21199836,11.39802365
Edinburgh,-1.723713822,130.5703841,55.42021318
Edmonton,-1.591672582,4.535127903,3.867378869
Egypt,0.203569924,63.16642977,51.28626073
Eindhoven,-0.93750281,5.761748831,4.657298158
Erbil,-0.678346972,6.518376035,6.560741106
Estonia,-0.318788597,12.13631566,11.47781333
Ethiopia,-0.15982315,6.104924419,6.522868426
Exeter,-0.226578496,1.122285073,1.299016236
Faro,0.413105293,54.75083971,77.13452056
Fes,-0.661271611,4.775429664,3.818956902
Fiji,-0.081360811,9.056260563,10.02379839
Finland,-0.013345099,16.87360564,27.82981101
Florence,-1.528803256,28.12431803,18.44271305
France,-0.57711894,356.1917437,191.65915
Frankfurt,0.142792153,54.27821101,49.8124625
Fukuoka,-0.175162103,5.806086619,6.124747212
Gambia,-0.206682236,9.540426714,10.84516152
Gdansk,-1.406023139,6.342422309,7.346972939
Geneva,-0.123202628,134.0869185,114.8887965
Genoa,-0.297709483,7.610145039,6.650572429
George,-0.306215763,3.383131786,2.917706525
Georgia,-1.052047519,7.866616039,7.934413323
Germany,0.133596826,482.4868969,383.6579853
Ghana,0.041710326,6.19780319,7.984247631
Gibraltar,-1.066087118,25.78574024,17.53983858
Glasgow,-0.027268916,57.45799822,39.90016697
Goa,-0.650448327,15.82686431,16.33735698
Gothenburg,-0.137785683,11.87922493,12.59768535
Granada,-0.701006603,11.8928594,9.40394018
Graz,-0.072207107,2.431137782,3.067331532
Greece,-0.457191272,266.6530853,259.1429801
Grenoble,-0.103973596,16.15869553,16.08927685
Guadalajara,-0.528450699,11.68397533,12.49872721
Guadeloupe,-4.914816161,12.27671886,5.945359631
Guam,-0.012382171,1.224641975,1.238458077
Guangzhou,-0.054434291,14.41110626,16.17450558
Guatemala,-0.06855304,9.366757843,10.6529552
Guayaquil,-0.271226135,6.520566425,6.704444337
Guernsey,-2.4705589,11.81783878,10.06442316
Haiti,-0.334096326,7.504762982,7.449513788
Halifax,-0.136738069,3.840546068,4.432125605
Hamburg,0.400806585,47.2311705,49.66875332
Hangzhou,-0.517186876,2.26458438,1.793145091
Hannover,0.06430428,15.57538597,20.36916955
Hanoi,-0.482390136,31.55030766,29.82081669
Harare,0.025868845,5.116715852,6.050227738
Hartford,-0.954692073,1.820908292,1.633187416
Havana,-0.262437087,50.31745492,51.92765619
Helsinki,-0.369398067,16.9524048,24.32423502
Honduras,-0.224494732,7.163090897,8.888007433
Honolulu,-0.254647682,20.90487999,22.16353347
Houston,-0.501936811,9.777659355,10.57082311
Hungary,0.245211648,29.97102063,29.94852592
Hyderabad,-0.090541976,11.10836288,13.73718618
Ibiza,0.367984457,57.42730165,83.32009505
Iceland,-2.01304798,46.77821281,51.29534607
India,-9.215931958,363.3991264,103.7451862
Indianapolis,-0.125097305,4.622504784,5.523470068
Indonesia,-0.346364451,29.50380804,27.25040919
Innsbruck,-1.047218715,23.4828933,18.57185676
Inverness,-1.114014368,12.58823743,10.44161255
Iran,-0.385227739,16.71135403,17.59138719
Iraq,-0.454118079,13.57805381,13.16614331
Ireland,-0.354748783,51.180742,44.04513858
Islamabad,-0.243052437,20.63546724,27.50391036
Israel,0.097654376,29.16671944,40.04857633
Istanbul,0.185843842,105.9320622,115.8606227
Italy,-0.002125323,484.1398885,330.2663966
Izmir,0.274324706,18.42415839,18.32224725
Jacksonville,-0.288663206,4.53167441,4.616417098
Jakarta,-0.556204185,15.03875176,14.93909415
Jamaica,-0.846725306,17.54108374,18.6144891
Japan,-2.520084361,106.3921152,68.86355869
Jeddah,-0.327871315,11.45850739,9.907975724
Jeju,-0.34130633,6.959248176,7.953077949
Jerez,-2.874234657,1.984507897,1.292625499
Jersey,-0.196597853,13.44315498,12.9676203
Johannesburg,-0.264979231,27.59124946,24.59915464
Jordan,-0.386564367,16.0667861,17.20825647
Kabul,-0.23077331,4.483217614,5.659229188
Karachi,0.000500797,12.02725213,11.96349086
Kathmandu,0.124685712,15.21550481,17.01562283
Kazakhstan,-0.843365277,6.52914438,6.004711692
Kazan,-2.361859635,12.02937364,7.353933703
Kefalonia,-1.194968898,13.8307201,12.39144224
Kenya,-0.483547699,22.08332841,22.34350564
Kerry,-0.438286217,3.026150637,3.107087085
Kharkov,-1.503170212,2.740348634,2.942387134
Khartoum,0.153705505,3.741267362,4.134273323
Kiev,-7.54144782,52.13408498,18.51238529
Kilimanjaro,-0.054652391,2.780897551,3.623016699
Kingston,-0.44051728,6.095557541,6.951389658
Knock,-1.207785035,6.826427563,6.849938331
Kochi,-0.026660197,11.38489569,14.43216598
Kolkata,-0.374796348,19.39104129,20.86766066
Kona,0.020533744,2.933727351,4.883567646
Kos,-0.531418004,12.26370813,12.50117154
Krabi,-3.935059964,6.01132755,3.762494337
Krakow,0.311284934,13.63567832,12.78821035
Krasnodar,-25.97207253,57.14420164,13.97523683
Krasnoyarsk,-100.5174905,24.7140227,6.191046963
Kuwait,-0.054073265,5.397291178,7.32113418
Kyrgyzstan,-51.99240948,22.40301435,5.916423117
Lagos,-0.21062025,11.73245601,13.42238209
Lahore,-0.750269516,14.80416822,14.9327403
Lanzarote,0.753565955,35.06801188,51.07381523
Latvia,-1.807592737,16.07599923,14.94094911
Lebanon,-0.5341279,9.022760589,8.839824659
Leeds,-0.189504889,12.35674605,12.29208217
Leipzig,-0.014297723,5.594143169,6.338137632
Liberia,-7.680213822,23.28190438,10.28733362
Lille,-0.402504977,1.943874938,1.773623025
Lima,0.036090753,20.42097492,19.70567307
Limoges,-0.12254881,2.658548991,2.863053241
Lisbon,-0.420136337,73.12246896,60.12061362
Lithuania,-1.620050273,13.37149123,9.748232649
Liverpool,-2.364171903,38.64408931,29.95884535
Ljubljana,-0.611878683,7.614307433,8.60719176
London,-0.120097302,836.0426566,510.9378705
Lourdes,-0.239567474,1.616264712,1.840616559
Lusaka,0.149982186,4.015250764,4.297610991
Luxembourg,-0.719020843,13.61924262,13.45494692
Lviv,-2.974328603,11.80804633,5.600661994
Lyon,-0.50644019,25.48217189,25.37385857
Maastricht,-1.71E+28,0.464839564,16.41666667
Madagascar,-0.485729741,4.553989744,4.826760159
Madeira,-1.122810334,24.3668249,17.93494082
Madrid,0.247353647,72.05828737,72.13871266
Makhachkala,-1.189260701,2.429580625,2.694196203
Malaga,0.088091292,107.9771356,102.3176204
Malaysia,-0.104177479,27.67155837,24.88504023
Maldives,-0.324339928,20.43350829,20.57529824
Male,-0.096022544,18.58886808,20.57529824
Malmo,0.099095545,2.139854479,1.869438722
Malta,-0.179613687,27.94693178,25.39564823
Manaus,0.021421513,3.048683941,3.28064659
Manchester,-2.026857118,191.6980776,89.69264295
Mangalore,-0.070577432,4.860627267,5.590111501
Manila,0.36912106,21.62857903,28.37118166
Marseille,-1.86556604,13.17811728,10.97353609
Martinique,-1.270065353,10.49701309,7.741790006
Mauritius,0.1731964,10.25623025,11.89383315
Medellin,-0.043093698,6.914470184,7.738435286
Melbourne,0.353192946,20.01401158,20.45567686
Memphis,-0.108940849,3.073907809,4.594741312
Mexico,0.029718122,47.56868226,33.05127688
Miami,-1.174929167,78.50064797,54.17918215
Milan,0.493505516,111.3626644,112.51361
Milwaukee,-0.058840274,1.86915365,1.976229479
Minneapolis,-0.254629563,7.845509713,8.310692729
Minsk,-2.400718747,11.27752922,9.135153131
Moldova,-1.345035908,12.52865545,17.70892013
Mombasa,-0.708115781,13.85808655,12.00820387
Mongolia,-0.513363021,2.936075784,3.150982891
Montenegro,-1.041328841,8.677395804,7.338199789
Monterrey,-0.363593393,3.416879291,3.720459405
Montevideo,0.022604458,4.622488648,5.236006784
Montpellier,-0.785314974,7.693876323,8.366478025
Montreal,-0.614829476,11.67431394,11.19822683
Morocco,0.199686257,46.77775795,51.61490271
Moscow,-24.5301915,352.0299408,63.06569627
Mumbai,-1.125602465,34.24066983,26.95782164
Munich,0.299176288,66.65537134,72.17779736
Munster,-0.896943484,1.306186337,1.271821949
Murcia,0.06057813,8.967587054,9.913960829
Murmansk,-9.956264328,6.094847737,1.902823858
Mus,-1.40E+30,3.153363439,5.666808997
Muscat,-0.014855576,8.578927518,11.81799475
Myanmar,0.107525364,5.085418462,6.475899376
Mykonos,-16.07377338,85.62722432,31.23774441
Nagoya,-0.221620292,4.228484223,5.226927113
Nairobi,-0.59093979,15.19658141,14.30392409
Namibia,-0.600448855,8.271988999,8.207732635
Nantes,-2.564949457,12.74840857,10.84042833
Naples,-0.565496446,57.63115041,55.68034938
Nashville,-1.290568419,8.891175734,8.220990664
Nassau,-0.26770804,7.055944451,7.815463983
Nepal,0.093866197,16.7022087,18.36523163
Netherlands,-0.481205618,243.8857516,104.4885984
Newcastle,-1.034431552,32.33913598,20.57706482
Newquay,0.458922502,0.958028953,0.865959793
Nicaragua,-0.007424006,6.530461119,6.671260018
Nice,-1.518055898,73.60090089,48.38783891
Nigeria,-0.345390689,13.26949119,13.88913796
Norway,0.478861896,28.94309216,26.42549507
Norwich,0.169164866,1.019596645,1.10200483
Nottingham,-0.83149432,16.3712785,17.90973342
Novosibirsk,-104.9333179,40.00476263,9.215409834
Nuremberg,-0.196551132,12.58461133,12.27555313
Odessa,-1.6169965,6.768179429,4.976341756
Okinawa,-0.730069033,8.015291524,7.978379877
Oman,-0.000256736,8.464424887,11.87956491
Oran,-0.006686821,2.977105931,3.279898668
Orlando,-2.282764614,74.86551809,65.3009669
Osaka,-0.524942204,14.4918435,14.53449365
Osh,0.161122624,4.227845117,1.943396453
Oslo,0.150451181,19.4082939,14.25010566
Ottawa,-0.504191456,6.580383375,7.180345253
Pakistan,-0.477094083,41.89528648,42.34218695
Palermo,-0.17883193,18.67802158,18.1225351
Palma,0.179364453,79.97037136,113.8576425
Panama,-0.78886061,18.6679266,16.43311858
Paris,0.238357022,159.5361627,129.1343078
Parma,-8.36E+29,0.812102183,5.166666667
Perm,-6.127540691,8.501576143,3.486471419
Perpignan,0.362342737,1.026161257,0.939998801
Perth,-0.510284421,22.54256023,21.09097381
Peru,0.163435937,19.38356776,19.75562995
Perugia,0,0.016378496,4.25
Philadelphia,-0.063756541,9.079588872,9.224273191
Philippines,0.195291558,26.32767725,29.01729059
Phoenix,-0.750720328,13.45982909,12.72773122
Phuket,-1.375837943,40.22766098,31.37993985
Pisa,-0.919696992,15.97872648,14.53624291
Pittsburgh,-0.225466386,3.839076979,4.603796605
Poland,-4.813904868,92.62304926,24.84671816
Portland,-0.749249385,9.781299593,7.953701254
Porto,-0.443247485,17.06638965,13.83650064
Portugal,0.39861675,110.3187771,126.5507325
Poznan,-0.666475004,2.952626898,2.497151787
Prague,0.12476845,66.00453664,49.68830059
Qatar,0.06597812,10.70770963,11.94933552
Qingdao,-8.820356667,8.471464197,3.537514054
Quebec,-0.231060629,2.725729904,3.104679386
Quito,-0.062236555,9.42139021,10.13632644
Rabat,-13.56126473,3.588382686,1.389029665
Recife,-0.095447099,5.472499998,6.352851454
Reno,-0.380736641,4.022899063,4.325857114
Reunion,-0.450072718,5.265183252,2.459784497
Reus,-0.795237462,5.298205901,4.208287954
Reykjavik,-0.789629751,35.79035735,51.27841812
Rhodes,-2.522916097,21.92876578,18.5954135
Riga,-10.80176817,32.95979192,14.94094911
Riyadh,-0.311742782,9.047760184,8.931231909
Romania,-0.901957658,55.68503981,47.66012276
Rome,0.262556438,111.3963175,90.34845832
Rotterdam,-0.38035105,12.23634592,11.64063587
Russia,-66.35773842,1235.41703,175.8046694
Sacramento,-0.191313405,5.740694084,6.0687421
Salvador,-0.353147749,11.55641166,12.82950036
Salzburg,-0.099891097,12.08404643,12.58300396
Samara,-7.000719203,13.62666919,7.793162431
Santander,-3313.629886,44.79490813,0.982503181
Santiago,-0.28141275,2.635747207,2.789682696
Sanya,-0.882420355,3.470613302,3.49465501
Sapporo,-0.386325504,11.61515446,13.37614906
Sarajevo,-0.147578131,5.459071897,5.812838455
Seattle,-6.522638362,34.35380379,16.57745851
Senegal,-0.917684225,10.31771522,11.27353599
Seoul,0.058751474,18.69077763,19.40759721
Serbia,0.013682435,16.32586847,16.12617332
Seville,0.094734646,14.89311837,16.1306271
Seychelles,-0.311718481,9.827616627,11.65179098
Shanghai,0.150344758,17.04646863,18.75808235
Shannon,-4.884092936,6.51279736,3.323876263
Singapore,-0.075720644,33.35098916,32.87254009
Slovakia,-0.077476712,1.712277511,1.474152299
Slovenia,-0.634658011,7.667921982,8.60719176
Sochi,-7.796683087,57.4879374,18.94971965
Sofia,-0.458763309,35.63766744,33.10902702
Southampton,-1.238494442,7.715864879,5.458664894
Spain,-0.629526903,1071.679612,688.7009727
Split,-0.881198265,27.60346667,25.08686896
Stavanger,-0.442817688,8.460523096,7.489219525
Stockholm,0.626554955,28.18528341,23.68942275
Strasbourg,-0.004626061,3.375099576,3.56151701
Stuttgart,-0.919795862,52.22633087,28.3595738
Sudan,0.053650063,4.845499327,4.937377732
Surabaya,-0.153284893,2.59634317,2.717943323
Sweden,0.19283267,48.79431452,31.70647249
Switzerland,-0.662606504,267.0868508,157.1275803
Sydney,0.093055182,32.80938019,42.74531075
Taipei,-0.212525966,21.80643522,24.44163212
Taiwan,-0.495177085,26.05072916,27.25877413
Tajikistan,-40.72403637,19.34262186,4.34749144
Tallinn,-0.348564128,12.27255745,11.54881069
Tampa,-0.050655471,9.296860112,10.63744592
Tampere,-0.393403752,1.9910528,2.347720122
Tanzania,-0.578861418,22.91866077,21.96533749
Tbilisi,-2.416940566,9.760010654,7.366863771
Tenerife,0.339224571,107.7049252,106.8821675
Thailand,-0.313775551,173.5627529,132.291012
Thessaloniki,-0.114195774,47.57241006,52.85780373
Thiruvananthapuram,0.108802003,7.704451572,10.18782278
Tijuana,0.101477464,0.901631312,0.776103693
Tirana,-0.314112366,19.79650049,21.6649893
Tokyo,-6.379605349,112.6693611,43.05019302
Toronto,-0.316579371,13.61050997,16.91376692
Toulon,0.680022029,0.842129771,0.661341521
Toulouse,0.082529685,13.14573932,15.1610071
Tours,0,0.877004155,4.545454545
Trabzon,-0.452318005,2.844779785,2.980056818
Trieste,-1.184115842,7.898270733,6.756930365
Tromso,-0.033234997,7.889343105,7.43024761
Tunisia,-0.062707057,26.91381478,30.33894886
Turin,-0.112138965,23.62746274,22.54804655
Turkey,0.24081073,236.7872323,242.8190731
Uganda,-0.204163625,6.318740632,7.963391023
Ukraine,-12.86569157,90.79528564,23.14724115
Uruguay,0.03571203,4.652598312,5.152305309
Uzbekistan,-8.580115151,17.82268542,8.435285063
Valencia,-0.065166698,17.59727837,18.46157404
Valladolid,-1.832841159,0.783940462,0.564151616
Van,0.200991635,1.40950923,1.503812036
Vancouver,-0.120280942,17.02931836,14.17457711
Venezuela,-0.196029435,7.437330855,8.331036236
Venice,-0.27310304,63.5204293,39.29940434
Verona,-1.135965551,31.43953781,24.85105803
Vienna,0.265451067,43.74815006,38.616718
Vietnam,-0.032530217,65.85106211,72.81548131
Vigo,-0.033957427,2.324358231,2.8546115
Vilnius,-1.396413995,11.58208616,8.727441701
Volgograd,-1.637513289,4.681032797,4.003936273
Warsaw,-0.105867278,23.19920715,16.14741659
Washington,-1.785358002,19.78674924,12.13531309
Waterford,-2.69E+30,2.18538393,2.756153803
Wellington,-0.247603015,4.517475952,5.37597507
Windhoek,-0.578154219,8.454196043,8.221189363
Winnipeg,-0.414889699,4.068039761,4.994184118
Xiamen,-0.381681299,4.633297419,5.723660026
Yangon,0.073745636,4.033220034,4.925729641
Yemen,0.010833761,2.783851893,3.718584316
Yerevan,-4.777608599,22.37646494,12.83067502
Yogyakarta,-0.341608572,2.485122633,2.527541475
Zagreb,-1.355810492,24.09887881,19.75954746
Zambia,-0.276410051,8.165735676,8.018953046
Zanzibar,-0.635094271,14.88870424,15.03430169
Zaragoza,-3.940601348,6.550954546,7.906168348
Zimbabwe,-0.024794849,5.949958309,7.305193514
Zurich,-0.03656548,59.50943136,37.89639697
