Place,R^2_twitter,RMSE_Twitter,RMSE_L4F
Aarhus,-0.108056844,1.476307457,1.465047315
Aberdeen,-0.310969784,18.57254545,15.18785587
Accra,0.010529647,6.281575987,8.300544205
Adana,-0.838795634,5.927450851,7.482656082
Adelaide,-0.294728646,9.636215776,10.66083796
Afghanistan,-0.322098437,4.666517083,5.683701279
Agadir,-0.433923284,21.40624602,20.80701026
Ahmedabad,-114.372546,61.93463314,6.132191974
Albania,-0.28069529,19.54317317,21.6649893
Albuquerque,-0.027760292,3.550640977,4.180922582
Alexandria,-0.073506693,5.410044668,5.757075686
Algeria,-0.138768423,6.758186437,8.870951381
Algiers,-0.245402094,5.885110816,7.869162699
Alicante,-0.009151196,86.8120544,92.25561359
Almaty,-0.297031896,3.429145846,3.909029466
Almeria,-0.72659146,11.96870978,11.0616172
Amman,-0.343834088,15.51859304,16.96405625
Amritsar,0.043754323,4.55726977,6.174042988
Amsterdam,-0.602339528,246.5413981,110.0332057
Anchorage,-0.112817501,3.210865359,3.858266656
Angeles,-0.402117481,4.414815032,4.610061871
Angola,-0.056036715,2.56526654,3.261792417
Ankara,-0.691073,7.311461751,7.76074768
Antalya,-5.885810523,81.43117053,27.56535416
Argentina,-0.401365308,33.87713505,35.86026305
Armenia,-4.661795153,22.1212014,12.78379434
Aruba,0.115592242,3.745409962,4.466628152
Astana,-2.161989745,5.223213676,3.843637748
Asturias,-0.251399663,5.669514061,7.063538741
Athens,0.035098855,111.2173952,109.1679483
Atlanta,-5.601485579,30.59064987,12.20727126
Auckland,0.073956928,29.63619443,28.12077595
Austin,-0.680765017,9.307275586,7.48421255
Australia,0.212838617,88.18481992,91.81646404
Austria,0.456586054,52.22338863,54.16522204
Azerbaijan,-0.147626601,6.718570479,6.536697109
Baghdad,-0.07138431,2.973032216,3.515869057
Bahamas,-0.498279156,10.85402864,10.665808
Bahrain,0.275972578,3.638945317,4.117703602
Baku,-1.162658784,5.501256044,4.566867461
Baltimore,-1.091960049,5.389378046,4.989591439
Bangalore,-3.597498494,21.48603365,12.87997808
Bangkok,-1.165346031,183.5473147,108.0627373
Bangladesh,-0.792749227,10.57313808,8.334927878
Barbados,-1.217610133,15.61804627,13.54273329
Barcelona,-1.960179281,347.5192641,194.2285258
Bari,-1.290107933,20.53226379,17.70665402
Basel,-1.01727433,48.82657893,39.39896132
Beijing,-0.419370441,24.52709645,21.7026195
Beirut,-0.52881297,9.007117518,8.839824659
Belarus,-2.462119483,11.33952531,9.079642877
Belfast,-0.282000562,56.01076999,39.29005484
Belgium,-0.095369695,43.87347031,39.23545656
Belgrade,0.007209876,16.37934889,16.12617332
Belize,-0.339005256,8.302642461,8.991060902
Bergen,0.123077208,11.0788177,12.08198556
Berlin,-1.306257371,268.6442816,149.7633444
Biarritz,-0.255486858,2.411039541,2.665152861
Bilbao,-0.306493839,21.65619537,19.23202009
Birmingham,0.080733609,31.76690222,26.76158362
Bogota,-0.207332999,11.93588262,11.95012124
Boise,-1.071450734,1.784436473,1.54592573
Bolivia,-0.273139481,6.83728156,8.129628053
