,R^2_twitter,RMSE_Twitter,RMSE_L4F
Aarhus,0.09999901036871717,85.9330789475695,78.46435508899089
Abbotsford,-0.20498304748054297,7.356299965419666,9.031396848342899
Aberdeen,0.32353553260439305,578.6180549270505,570.7277849480597
Abha,-0.0786199400470542,17.14961578184823,20.934512380128417
Abilene,-0.08077883419421195,8.801047699568812,9.770375731540923
Abuja,-0.025987756269645557,75.85710529814845,74.80190531706062
Acapulco,-1.1248680757997525,72.29460125159571,63.6362603616248
Accra,-7.680085542461935,1166.7845166822503,369.2310336509345
Adana,0.32573523908650315,198.9156087343936,218.81219820813791
Adelaide,0.01416964960879008,531.5973401181949,498.5522855682366
Aden,-0.03318299899403754,44.28182962924452,49.30789189495937
Afghanistan,-0.18825298142662317,134.13843450275294,142.5415312286212
Agadir,-0.002484690602724049,518.0523551868714,505.4358945272512
Agra,-0.7608663183706461,40.14232070041394,30.409948708749088
Agri,-0.5890705773856426,29.319125888327264,31.499800346589502
Ahmedabad,-4.650977126298068,485.68067083973244,217.86378153490202
Akron,0.035236179384406485,25.40716508517223,27.231410660531342
Albania,-0.13080411479630594,475.4326303893461,476.10831315928
Albany,-1.1341150872820496,3.4922964175932325,2.969647890533489
Albuquerque,-0.12083593245415658,82.93999620285838,84.19022615296564
Albury,0.04539603129074676,20.046755919827685,21.664715607266807
Alexandria,-0.21319086348729277,147.5342618984171,153.83631247256366
Algeria,-0.04616977583476167,540.4777477317334,573.806084677132
Algiers,-0.5196003502633326,371.86211704420407,334.7276172268655
Alicante,-0.47565522806180893,5219.504249199466,4032.6696528652865
Allentown,-1.0715317466022225,17.56498674948457,14.555088645169773
Almaty,0.20174452701124912,303.4805728998747,291.01927563146484
Almeria,-0.010489953357221138,265.4170220410768,239.52267213929875
Alta,-0.31860760774583374,35.060221712200196,36.390840623019415
Amarillo,-0.328486272706384,10.048067444827861,10.916864462266627
Ambon,-0.9414160603671957,34.33183132304404,30.411782641560166
Amman,0.02949384458670523,637.7931441781272,588.7185952511874
Amritsar,0.05469886437911309,257.02364677827427,260.18843468334404
Amsterdam,0.15534836304364164,8416.860479033547,8185.824464829668
Anchorage,-0.6189847296815496,173.1029127202724,149.69111112554413
Angeles,-0.04453577258958563,234.7895858417801,225.23652329447208
Anglesey,0.1689870425485024,13.582252122877529,12.207398019490066
Angola,0.19427927150010982,170.77859308942217,172.89859479484284
Anguilla,0.024526370926591712,15.300242808579332,14.872322204078804
Ankara,-0.017602097720044618,786.3968008190327,752.7142418623046
Annaba,-0.07001302125185371,27.94925264866538,33.957529510903335
Antalya,-0.2686255775305406,2405.471212979447,2199.375417412578
Antofagasta,-0.23117175407693313,15.014027253790978,14.751138556385314
Antwerp,-0.04387943356374291,93.97144686428896,89.66058622748487
Appleton,-0.6683893274669515,14.20295983851607,13.554451119882737
Argentina,-0.2966374500092459,2273.050100588653,2004.449628575409
Armenia,-0.2829359658952004,494.2403146075919,447.9911162449262
Aruba,-0.30213324218788284,238.18827728085475,234.92656182970248
Arusha,-0.3874043046825486,27.28394900038124,28.28122239795481
Asheville,0.05160567570443464,27.15768017365052,26.434167564796702
Ashland,-0.5458912678521142,4.594739447715673,5.427450390554987
Asmara,-0.3926865614281343,78.50447447075956,76.0549227214208
Aspen,0.056059768282989864,31.855785315916137,30.813930620946433
Astana,0.24128641338578583,188.55713225386748,191.70156407282846
Asturias,0.25096121787347736,158.4300788807166,163.31572668310685
Asuncion,0.13533515831949616,107.41069537196056,125.10537371052453
Athens,-0.42013775102223017,6204.308844513907,5067.358861606773
Atlanta,0.0823107471290555,622.6211850906806,632.3465141711267
Auckland,0.05737439699317204,2082.810175991855,2036.1465612203683
Augusta,-0.3100468537772929,15.496666884863318,17.45258923752433
Austin,-0.10319168441089732,343.18545609043946,309.8702698875067
Australia,0.16657210986902748,11679.194550506201,11996.83980654922
Austria,0.1593576369441818,4204.792705556254,4151.23344084745
Avignon,-0.24743321121759898,59.23593439152933,36.95268334575465
Azerbaijan,0.05854256152194259,461.4585804282749,463.7331777609297
Baghdad,-0.4436611779912294,138.74153746152376,135.01463476809653
Bahamas,0.10106504621735746,339.6985831274574,359.49597925646196
Bahrain,0.1119877970452916,216.04952269181987,223.1474202233666
Bakersfield,0.20595532635098024,9.234293603023334,10.817222595819134
Baku,0.07229337993328966,375.6011759029377,383.4529371383143
Balikpapan,0.18606466729299465,51.40324174488894,47.70034827762216
Ballina,0.3207474741102043,41.79657990807399,39.537630095244545
Baltimore,0.023501741996517445,173.1391803395999,171.0013688381799
Bangalore,-1.8438351653814893,904.4225866584982,549.3078696897807
Bangkok,-0.10254133619158323,11934.01705611948,10850.01983768258
Bangladesh,0.1598694175016926,361.10199651681285,384.6110854750712
Bangor,0.02553284317315707,23.601135795629325,28.014963914397605
Bangui,-0.042737874799064324,27.933429342949914,27.94755971010707
Barbados,0.011655561002784864,301.4758536907193,323.41242224639626
Barcelona,0.13356566900914602,11247.110165599011,11081.745914638252
Bari,0.7474679242466491,248.3306963757387,205.32140019742758
Barra,-0.17873674065909362,17.115295694356533,22.64533228324879
Basel,0.1926126466185636,691.8303040201068,677.98259736089
Basra,-0.27271958711933997,54.06821614851234,51.857090962225364
Batman,-0.3286174218110196,53.300051055699726,55.40633936118005
Beijing,0.09556653786494418,2250.994832299628,2342.0303530378897
Beirut,-0.10393722434531139,473.12475846452884,464.98549548950996
Belarus,0.22881612649758465,449.035643984554,458.85222903015034
Belfast,0.18255128861064007,1231.0446552805465,1189.087988442324
Belgium,0.154896937399027,3528.2503878871667,3436.169683244817
Belgrade,0.05809564556137714,978.6811957543657,981.4662741356043
Belize,-0.19227902766396054,219.60106283135076,241.0789903129522
Bellingham,-1.8357148791923508,242.7057952130675,180.95506137790468
Benghazi,-0.9682933668070453,24.286666378511686,23.130755618196957
Benin,-0.1791141003382688,57.73777221352908,80.81047742538556
Bergen,-0.05513152665944476,524.3622324332738,478.3244908989608
Berlin,0.06204433198462689,6335.787652000189,5790.665813217949
Bermuda,0.13837274451806514,81.02568296687664,99.33949051107523
Bern,0.2064455614607411,121.83394187848452,124.33644699275129
Bhopal,-0.3702153643191102,19.634056547269793,21.582412454212577
Bhubaneswar,-0.4679628246949721,37.1294337892713,37.19728468962822
Bhuj,-0.22426636408708833,32.06250315562945,33.80440477597653
Bhutan,-0.3253104141302836,49.64536148049947,54.24797321242749
Biarritz,0.22913003171711188,136.96654260455833,102.26617172375357
Bilbao,0.27873572023453963,860.8095005591758,927.1760248910736
Billings,-0.5482963150636526,36.53772305218031,28.440155051525977
Binghamton,-0.5238976885396269,9.009432536779556,8.839915246341448
Birmingham,-0.11246768586753508,59.59782490396726,67.1077205122015
Bismarck,-0.4030860294832823,18.410784018946035,31.871861641832737
Blackpool,-0.05503944540061401,49.329484038762814,51.629666291835065
