,Twitter,Fridays
OVERALL-0.1,1.5548532123632313,0.5105637770157553
OVERALL-100,1.5548532070910916,0.5105637769915762
OVERALL-1000,1.5548531864358819,0.5105637757526933
OVERALL-100000,1.5548436863991142,0.5105639144275576
OVERALL-2,1.55485321252344,0.5105637770053867
OVERALL-32000,1.554850990842776,0.5105637895366388
OVERALL-50,1.5548532124620067,0.5105637768997446
